filename,grouped_type,text
img_0001110.jpg,advertisement,"VANTAGEU va
CHIS
""FREEPACK""
SNOdnos
- I 9 5 d
""38958""
VANTAGE UURAUGHIS 100s
VANTAGE ULTRA UIGHTS
Unialowlor 6mg
Ultro Low lor 6 mg
A
-
-
1
"
img_0001111.jpg,advertisement,"Matice Sidiis Gnil rlly - Spets Ber B Crill
4 - 2nd S. 444 602-253-9004 Sio : 7318 E. Stefsos Dr. I 602- 917-8188 as - a Sss Bcr S. Shgeies Cernar e 5 - Ash I 602-966 5600 : ) 607 S. Mill Avs. I 602-966- -0068 Mednlercies 455 M 3ed St 444 I 407-253-5700 Merghy - ideit Fuk 1810 L Apade I 662 Bot -0103 NY Wer: 2155 #. Unlversity Dr. I M3 5146 9328 I 602-967-3060
1826 7 Skotisdele RA lempe 602-946-6666 Edlus 7340 E. ldies Plasa Scetrsdele 602-970-1112 E S Spaur lia: 3337 VI Peoria At Phaanis 407-493-5035 SLii: Lacuse 725 E Gaberi Rd. Gihert 602-892-8999 e 607-426-1395 Teis' Nulus Sluit sestseicn 6925 E. Cove Creek Ka Cet Geek 602. 488 4595 Hcche SusuEy Ci 3420 E. Rey RA Alwetukee 602-704- 0881 Moucbstene Bewing Co. 710E. Cibeet De. I 14 949-6506 I 602-494-2667 ses Ea 1 - - s ME- SURGEON GENERAL'S WARNING: Smoking By Pregnant Women May Result in Fetal Injury, Premature Birth, And Low Birth Weight.
- - & Rlo 430 N. Seaftadale R4. lempe 602-494-0533 Decctes Phetaix 603-257- ZosZ Ba's Sceitsdele 602-948-4422 Gitiain's 425 : Wiefield Senitt 602-474-2264
a6' Si 5.. 6820 Sth Ave. I 480-994-4148 duftatde aw 125. Sth St Tempe 602-966-4438  7125 E. Srh Ave. Scottsdale 602-945-9018 13 Siiiad Fushar St cerner af Sceitud"". & Shes Scefisdele I 602-991-FUNN
The aRwey 6746 - Cave Grec R4. Ceve Geek 602. 8510-565 hin's 6  Gti Tempe 602-967-1040 hcliyweed ley Mese 602-870-7117
455N. 3rd 5 (AZ Cented) 2433 E. University
Tbe Qvfe Nast Sdlecit lie De Capes
E M. Scettsdale Rd. NE corner e Prkue & Besdlaa 541 $. AH Are. SM. 341 801 E. Apude
1
teiesfasdi
Maribarn

"
img_0001151.jpg,advertisement,"a
50851 3378
- MPE
MPLE
6 24
*
a
"
img_0001165.jpg,advertisement,"THE LOWEST
lamlyn - BY MARILYN vos SAVANT
VERSHADOWSTHEM ALL.
A freg fell ite a we32feet deep.Eack day 3 jumped two feet 8. the side 1 and sud back dow ome foet teack aigt. How Aen days did Itake : freg to I out ofthe well? MrD. Girolamo, Soith Ondige.NJ I'm aware that my answer is going to drive everyone cnazy, but I'm torisk itanyway: It will take RE him days. To explain, let's suppose that the well la oaly 2 foet doep. How many days will I take him de jump out? Less than ope, because he can land at the bottom, then jump dn d8 the edge and climb right out without sliding back at all. If the well is 3 foet deep, bowever, he'l jump up2 foct and slide down one during the finst 24-bour period, then jump out when the next day arriyes, with only one full day behind him. if the well is4 foct deep,  take him two days, and os 00... the number rofdays alwiys being two less than the fect. Itk we're a 1 ef leypocrites! M I we de people ahys E ""Money hsa't everything, - I la i money a & that 1 te ceacen 5 seciety? * Sevens, Youngstown, Ohio Ithink poople who don'thave money say it bocause they hope it's true, andpeople wbo do have money say kbecause they bnow i's true. aren'tthe Wly worid's ablest people la leadership positions? its dismally gloomy to witmess so may comtries' govermments, incleding oars, composed of persons of medlocre mentality. * Chin, Oaltland, Calf. Many countries don'thave an ahemative- cadership a determined by force. Here, bowever, where d have a choice, elections oftea beconepogulariy.Databliy.comtests d de  - I ha pVI- 4 I ! ! hMAAE 7T. N  : AN7, I - I I 1 - MRABE ACATE SEPTERE 18, 1988-PME 19 MAcoN 7EIEGKAAN € Mw's
mg
6mg.
A mg
3mg.
NOW
2mg.
NOWISLOWEST By sn Gov't. testing method.
wo8C0000 9 Smoking Result ln Fetal
Canpedte - i na * de àn MREI lecate FCeed B las tetsns $ teens a I SORTANCK RTER MMBOlg K a $ A a Aaport J N B0 i la taling y I AC ten - aotne SOFTAG m AIRR2AG 0zag sing SOFT NO 6 MONOL Sas Kas a I N pr 1
SURGEON GENERAL'S WARNING. By Pregnant Women Injury, Premature Birth, And Low Birth Weight
we
May
h FTC mted
"
img_0001192.jpg,advertisement,"Alow ""tar""cigarette
with taste
isn'tfiction any more
fact
20 CLASS A CIGARETTES -  - - - - - - 5  Etis the first cigarette with Purite granules, the selectiie filtering agent. - Selective. That means it reduces things that taste bad in smoke.s Without removing the things that taste good. So, for the first time, noA get a tasteryou candike in a low tar"" - Cigaretfe.  And thatsa fact. M 4 a
a
.
Available in regular and menthol.
lpla 3ns # - pas - Mnu 2y E D- tus ncarE a PPEEFCs Warring The Surgesn General Has Derermined ThatDigareite SmolungtsDangero.s 1 Your Health FOST-REYES-CMEDNEN INC Ad No. 013-6-040 FAC-NC-76-3 s eol. * 200 11. (1000 11.) 2/color (Isn"": Fierion) Nevspapers, 1976 BRIFSN K - 1avene I sn
780006242
PRODUCED FROM B&W WEB SITE
"
img_0001196.jpg,advertisement,"ss COPyY e Aco 1A he a NO on a a a a TME aN a a $42E Mrose I ISNON 3 T wn  & (BACX EnGA M a : su &  $ 8 o RSS 8 46 a aan 5 VME 6 :
- - oo 3 oods I 2 : a B dn ive  and on uss - - S GNES sn 6 don 5 . tha MORE 5 YSIAL I - pnmpn . 3On  3 MORE mner pI i ! spas 6 : - g Dvepus apeus wil *  said Ae  - A aclevercor Con - a  - 000 announces . s - 5 ve that aoiy A  ue oomet the Lock anort the 1 a bac
Smoke NOZDANS Contains S.MU3N39 1 Carbon WARNING Monoride Cigarette
Comebacks
nus , -
- $ s COMER SFAREME Éemr paNA aue us e CANETERO *  j a: Nr ACO SPr * -
""How Aya - AOH.1 Give Suor can smokce nos does a UsYour that brown smoke 9 that?"" arette cigarette?"" Comeback. last?""
- 3 nuot AA E . 2 -
Dw
FILTER CIGARETTES
- -  un
120
-
50667 3366
"
img_0001206.jpg,advertisement,"PLANET I ricotina 13mg 09mg S s 1mg dombFCmtod 11mg BOE per a UGHISBONE RULRAVORE nictina MENTHOL SEDONAI 13mg CEBOX BOK ) BOX RAVORI mg. UGHTSI BUENDRULLF BOX: RLAVORT RULLI HOUSE HOUSERLENDI nicotina, ICEBOKMENTHOL ALECT ) .8. : a I 12mg ) a 17 ""ar,10mg t5mg RUBRS: PANETUBTSBOCTIA B0C WDESI RAVORE UGHISBOX JMBOS 8. RLLE
. - -
-  7 4047 TO MC. 121686 DEUVERED FORM: FAX121 FIRST FAL a ASSOCIATES 8048 PT a & DESAGN MECHANICALI WARNING EOABIT: STATEMONT QUARTER SDE TAN DATE BMORAVERPAINTERI 10018-7ELE2VMM COPYRRY QUARTER G. CORNERSTONE NY. aY NY. FLOOR ASSOCIATES, PREPARED ONE BY DESIGN E soumH-t o00e e7 MAG 0 ADVERTISEMENT PREPARED x  A MAGAZNE 4MT CUEVE AVENUE CORNERSTONE mes TOBACCOCO PARK. 9 3 NAME: & Dats 8 USA ADVERTISEMENT & N SPEC. RJREVNOUDS THIS AGENCY coPY 8e MECHANICAL SIZE: TITUE: POS Pubnvation Pviion
800015-57 CALL 3STOMSCOMMET
Fetal Weight. in Smoking Birth Result WARNING. Low May And Birth, Women GENERAL'S ONACDDCO Premature Pregnant MOCOHE SURGEON By Injury. 97 -
51642 5374
"
img_0001247.jpg,advertisement,"anc Menthol Menthol Lights
78%0
I :
- -
2040144236
nceline nicaene 06mg S8. Fab de : lac Pagont lar, z - HC M4mg Manthal cigarette, Menhal Lights per a Smoking Disease, Pregnancy. WARNING: Heart Complicate BRAl'S Cancer, May - bu And
SLIM
-
NIA
"
img_0001280.jpg,advertisement,"sner PACK 100s ALTER MENTVOL ag ""ar,02 ay. ri
Warning The Surgeon General Has Deserminer Carposin as as cignene a Bovais hy lan FTC netod. ano eelles aICAaFg mot That Cigarette Smolong Is Dangerous da Your Health, NOWN TH LOWEST OF AIL BRANDS
Newport UGHTS 100's
Goiden Lights 1005
RUE UW
mg BENSONS HADGES
Bur MERIT Uitralights 100 MENTHON
Sui
mg
5 Su
Carlton 1005 MENTHOL
5 Sur
NOW
Lovest Tar 100s MoAthol
2mg
Now, that's the bottom line.
NOW THE LOWEST
CONFIRMED BY THE LATEST U.S. GOVT REPORT ON TAR
"
img_0001332.jpg,advertisement,"Youve come a long way, baby.
VIRGINIA SLIMS
-
liahts
- - SUMS
VAC GNM LMs
$4 * y *
in the crush-proof purse pack.
Ben Fashions: Thylan Cachard -
"
